Area,Item,Year,Unit,Value
Greece,Coal,2010,kilotonnes,80.7679
Greece,Coal,2015,kilotonnes,46.4541
Greece,Coal,2020,kilotonnes,68.759
Greenland,Coal,2010,NULL,NULL
Greenland,Coal,2015,NULL,NULL
Greenland,Coal,2020,NULL,NULL
Grenada,Coal,2010,NULL,NULL
Grenada,Coal,2015,NULL,NULL
Grenada,Coal,2020,NULL,NULL
Guadeloupe,Coal,2010,NULL,NULL
Guadeloupe,Coal,2015,NULL,NULL
Guadeloupe,Coal,2020,NULL,NULL
Guam,Coal,2010,NULL,NULL
Guam,Coal,2015,NULL,NULL
Guam,Coal,2020,NULL,NULL
Guatemala,Coal,2010,kilotonnes,69.7272
Guatemala,Coal,2015,kilotonnes,88.5221
Guatemala,Coal,2020,kilotonnes,103.558
Guinea,Coal,2010,NULL,NULL
Guinea,Coal,2015,NULL,NULL
Guinea,Coal,2020,NULL,NULL
Guinea-Bissau,Coal,2010,NULL,NULL
Guinea-Bissau,Coal,2015,NULL,NULL
Guinea-Bissau,Coal,2020,NULL,NULL
Guyana,Coal,2010,NULL,NULL
Guyana,Coal,2015,NULL,NULL
Guyana,Coal,2020,NULL,NULL
Haiti,Coal,2010,kilotonnes,34.804
Haiti,Coal,2015,kilotonnes,41.002
Haiti,Coal,2020,kilotonnes,45.9605
Holy See,Coal,2010,NULL,NULL
Holy See,Coal,2015,NULL,NULL
Holy See,Coal,2020,NULL,NULL
Honduras,Coal,2010,kilotonnes,26.8617
Honduras,Coal,2015,kilotonnes,21.1463
Honduras,Coal,2020,kilotonnes,21.5265
Hungary,Coal,2010,kilotonnes,9.7627
Hungary,Coal,2015,kilotonnes,4.8814
Hungary,Coal,2020,kilotonnes,4.8814
Iceland,Coal,2010,kilotonnes,13.3892
Iceland,Coal,2015,kilotonnes,12.9451
Iceland,Coal,2020,kilotonnes,12.0419
India,Coal,2010,kilotonnes,17326.6037
India,Coal,2015,kilotonnes,13199.1569
India,Coal,2020,kilotonnes,5248.1658
Indonesia,Coal,2010,kilotonnes,199.6403
Indonesia,Coal,2015,kilotonnes,40.1746
Indonesia,Coal,2020,kilotonnes,188.4875
Iran (Islamic Republic of),Coal,2010,kilotonnes,1.5403
Iran (Islamic Republic of),Coal,2015,kilotonnes,0.5245
Iran (Islamic Republic of),Coal,2020,kilotonnes,0.2184
Iraq,Coal,2010,NULL,NULL
Iraq,Coal,2015,NULL,NULL
Iraq,Coal,2020,NULL,NULL
Ireland,Coal,2010,kilotonnes,116.3642
Ireland,Coal,2015,kilotonnes,88.049
Ireland,Coal,2020,kilotonnes,45.6173
Isle of Man,Coal,2010,NULL,NULL
Isle of Man,Coal,2015,NULL,NULL
Isle of Man,Coal,2020,NULL,NULL
Israel,Coal,2010,NULL,NULL
Israel,Coal,2015,NULL,NULL
Israel,Coal,2020,NULL,NULL
Italy,Coal,2010,kilotonnes,115.661
Italy,Coal,2015,kilotonnes,46.7847
Italy,Coal,2020,kilotonnes,44.8529
Jamaica,Coal,2010,kilotonnes,11.548
Jamaica,Coal,2015,kilotonnes,24.3423
Jamaica,Coal,2020,kilotonnes,20.0354
Japan,Coal,2010,kilotonnes,1181.3823
Japan,Coal,2015,kilotonnes,1093.4451
Japan,Coal,2020,kilotonnes,1389.731
Jordan,Coal,2010,NULL,NULL
Jordan,Coal,2015,kilotonnes,27.8988
Jordan,Coal,2020,NULL,NULL
Kazakhstan,Coal,2010,kilotonnes,2025.7644
Kazakhstan,Coal,2015,kilotonnes,1241.818
Kazakhstan,Coal,2020,kilotonnes,1110.2165
Kenya,Coal,2010,kilotonnes,173.8743
Kenya,Coal,2015,kilotonnes,86.776
Kenya,Coal,2020,kilotonnes,52.5663
Kiribati,Coal,2010,NULL,NULL
Kiribati,Coal,2015,NULL,NULL
Kiribati,Coal,2020,NULL,NULL
Kuwait,Coal,2010,NULL,NULL
Kuwait,Coal,2015,NULL,NULL
Kuwait,Coal,2020,NULL,NULL
Kyrgyzstan,Coal,2010,kilotonnes,52.4212
Kyrgyzstan,Coal,2015,kilotonnes,14.6441
Kyrgyzstan,Coal,2020,kilotonnes,9.2746
Lao People's Democratic Republic,Coal,2010,kilotonnes,1.5581
Lao People's Democratic Republic,Coal,2015,kilotonnes,0.8137
Lao People's Democratic Republic,Coal,2020,kilotonnes,0.797
Latvia,Coal,2010,kilotonnes,4.8814
Latvia,Coal,2015,kilotonnes,3.9263
Latvia,Coal,2020,kilotonnes,3.5443
Lebanon,Coal,2010,kilotonnes,266.3992
Lebanon,Coal,2015,kilotonnes,53.2876
Lebanon,Coal,2020,NULL,NULL
Lesotho,Coal,2010,kilotonnes,17.5091
Lesotho,Coal,2015,kilotonnes,42.9323
Lesotho,Coal,2020,kilotonnes,46.8315
Liberia,Coal,2010,NULL,NULL
Liberia,Coal,2015,NULL,NULL
Liberia,Coal,2020,NULL,NULL
Libya,Coal,2010,NULL,NULL
Libya,Coal,2015,NULL,NULL
Libya,Coal,2020,NULL,NULL
Liechtenstein,Coal,2010,NULL,NULL
Liechtenstein,Coal,2015,NULL,NULL
Liechtenstein,Coal,2020,NULL,NULL
Lithuania,Coal,2010,kilotonnes,4.8814
Lithuania,Coal,2015,kilotonnes,14.6441
Lithuania,Coal,2020,kilotonnes,20.5017
Luxembourg,Coal,2010,kilotonnes,5.7766
Luxembourg,Coal,2015,kilotonnes,1.7003
Luxembourg,Coal,2020,kilotonnes,1.2409
Madagascar,Coal,2010,kilotonnes,20.9566
Madagascar,Coal,2015,kilotonnes,64.1062
Madagascar,Coal,2020,kilotonnes,39.2263
Malawi,Coal,2010,kilotonnes,33.2996
Malawi,Coal,2015,kilotonnes,14.785
Malawi,Coal,2020,kilotonnes,5.8813
Malaysia,Coal,2010,kilotonnes,21.3196
Malaysia,Coal,2015,kilotonnes,16.938
Malaysia,Coal,2020,kilotonnes,17.4829
Maldives,Coal,2010,NULL,NULL
Maldives,Coal,2015,NULL,NULL
Maldives,Coal,2020,NULL,NULL
Mali,Coal,2010,NULL,NULL
Mali,Coal,2015,NULL,NULL
Mali,Coal,2020,NULL,NULL
Malta,Coal,2010,NULL,NULL
Malta,Coal,2015,NULL,NULL
Malta,Coal,2020,NULL,NULL
Marshall Islands,Coal,2010,NULL,NULL
Marshall Islands,Coal,2015,NULL,NULL
Marshall Islands,Coal,2020,NULL,NULL
Martinique,Coal,2010,NULL,NULL
Martinique,Coal,2015,NULL,NULL
Martinique,Coal,2020,NULL,NULL
Mauritania,Coal,2010,NULL,NULL
Mauritania,Coal,2015,NULL,NULL
Mauritania,Coal,2020,NULL,NULL
Mauritius,Coal,2010,kilotonnes,13.1723
Mauritius,Coal,2015,kilotonnes,6.273
Mauritius,Coal,2020,kilotonnes,1.98
Mayotte,Coal,2010,NULL,NULL
Mayotte,Coal,2015,NULL,NULL
Mayotte,Coal,2020,NULL,NULL
Mexico,Coal,2010,kilotonnes,477.8615
Mexico,Coal,2015,kilotonnes,312.5091
Mexico,Coal,2020,kilotonnes,472.1557
Micronesia (Federated States of),Coal,2010,NULL,NULL
Micronesia (Federated States of),Coal,2015,NULL,NULL
Micronesia (Federated States of),Coal,2020,NULL,NULL
Monaco,Coal,2010,NULL,NULL
Monaco,Coal,2015,NULL,NULL
Monaco,Coal,2020,NULL,NULL
Mongolia,Coal,2010,kilotonnes,18.061
Mongolia,Coal,2015,kilotonnes,15.1322
Mongolia,Coal,2020,kilotonnes,4.8325
Montenegro,Coal,2010,NULL,NULL
Montenegro,Coal,2015,NULL,NULL
Montenegro,Coal,2020,NULL,NULL
Montserrat,Coal,2010,NULL,NULL
Montserrat,Coal,2015,NULL,NULL
Montserrat,Coal,2020,NULL,NULL
Morocco,Coal,2010,kilotonnes,223.0473
Morocco,Coal,2015,kilotonnes,3.0146
Morocco,Coal,2020,kilotonnes,1.9885
Mozambique,Coal,2010,kilotonnes,5.2689
Mozambique,Coal,2015,kilotonnes,58.5825
Mozambique,Coal,2020,NULL,NULL
Myanmar,Coal,2010,kilotonnes,1.9553
Myanmar,Coal,2015,kilotonnes,2.257
Myanmar,Coal,2020,kilotonnes,2.9516
Namibia,Coal,2010,NULL,NULL
Namibia,Coal,2015,kilotonnes,5.1725
Namibia,Coal,2020,kilotonnes,7.5422
Nauru,Coal,2010,NULL,NULL
Nauru,Coal,2015,NULL,NULL
Nauru,Coal,2020,NULL,NULL
Nepal,Coal,2010,kilotonnes,53.3555
Nepal,Coal,2015,kilotonnes,69.6136
Nepal,Coal,2020,kilotonnes,56.1327
Netherlands,Coal,2010,kilotonnes,1.2008
Netherlands,Coal,2015,kilotonnes,1.4736
Netherlands,Coal,2020,kilotonnes,2.2681
Netherlands Antilles (former),Coal,2010,NULL,NULL
Netherlands Antilles (former),Coal,2015,NULL,NULL
Netherlands Antilles (former),Coal,2020,NULL,NULL
New Caledonia,Coal,2010,kilotonnes,8.2815
