Area,Item,Year,Unit,Value
Hungary,Fuel oil,2015,kilotonnes,3.127
Hungary,Fuel oil,2020,kilotonnes,3.5439
Iceland,Fuel oil,2010,kilotonnes,168.8558
Iceland,Fuel oil,2015,kilotonnes,190.7446
Iceland,Fuel oil,2020,kilotonnes,105.0659
India,Fuel oil,2010,kilotonnes,1719.828
India,Fuel oil,2015,kilotonnes,594.1224
India,Fuel oil,2020,kilotonnes,211.3825
Indonesia,Fuel oil,2010,kilotonnes,543.9763
Indonesia,Fuel oil,2015,kilotonnes,500.371
Indonesia,Fuel oil,2020,kilotonnes,549.645
Iran (Islamic Republic of),Fuel oil,2010,kilotonnes,23.7566
Iran (Islamic Republic of),Fuel oil,2015,kilotonnes,23.7566
Iran (Islamic Republic of),Fuel oil,2020,kilotonnes,14.6044
Iraq,Fuel oil,2010,kilotonnes,826.8708
Iraq,Fuel oil,2015,kilotonnes,65.0881
Iraq,Fuel oil,2020,kilotonnes,87.0562
Ireland,Fuel oil,2010,kilotonnes,11.9467
Ireland,Fuel oil,2015,kilotonnes,2.0457
Ireland,Fuel oil,2020,kilotonnes,0.9901
Isle of Man,Fuel oil,2010,NULL,NULL
Isle of Man,Fuel oil,2015,NULL,NULL
Isle of Man,Fuel oil,2020,NULL,NULL
Israel,Fuel oil,2010,kilotonnes,301.4025
Israel,Fuel oil,2015,kilotonnes,97.715
Israel,Fuel oil,2020,kilotonnes,59.9364
Italy,Fuel oil,2010,kilotonnes,10.9993
Italy,Fuel oil,2015,kilotonnes,10.5113
Italy,Fuel oil,2020,kilotonnes,9.3329
Jamaica,Fuel oil,2010,kilotonnes,1357.9383
Jamaica,Fuel oil,2015,kilotonnes,1680.8302
Jamaica,Fuel oil,2020,kilotonnes,2537.2638
Japan,Fuel oil,2010,kilotonnes,192.9555
Japan,Fuel oil,2015,kilotonnes,131.8661
Japan,Fuel oil,2020,kilotonnes,124.4721
Jordan,Fuel oil,2010,kilotonnes,64.9001
Jordan,Fuel oil,2015,kilotonnes,50.9918
Jordan,Fuel oil,2020,kilotonnes,48.4298
Kazakhstan,Fuel oil,2010,kilotonnes,3.127
Kazakhstan,Fuel oil,2015,kilotonnes,4.1856
Kazakhstan,Fuel oil,2020,kilotonnes,2.1804
Kenya,Fuel oil,2010,kilotonnes,40.6505
Kenya,Fuel oil,2015,kilotonnes,12.5078
Kenya,Fuel oil,2020,kilotonnes,89.3685
Kiribati,Fuel oil,2010,NULL,NULL
Kiribati,Fuel oil,2015,NULL,NULL
Kiribati,Fuel oil,2020,NULL,NULL
Kuwait,Fuel oil,2010,NULL,NULL
Kuwait,Fuel oil,2015,NULL,NULL
Kuwait,Fuel oil,2020,NULL,NULL
Kyrgyzstan,Fuel oil,2010,kilotonnes,21.576
Kyrgyzstan,Fuel oil,2015,kilotonnes,6.2539
Kyrgyzstan,Fuel oil,2020,kilotonnes,1.9718
Lao People's Democratic Republic,Fuel oil,2010,kilotonnes,0.7318
Lao People's Democratic Republic,Fuel oil,2015,kilotonnes,1.5444
Lao People's Democratic Republic,Fuel oil,2020,kilotonnes,1.5716
Latvia,Fuel oil,2010,kilotonnes,4.1693
Latvia,Fuel oil,2015,kilotonnes,4.0824
Latvia,Fuel oil,2020,kilotonnes,6.8793
Lebanon,Fuel oil,2010,kilotonnes,12.6648
Lebanon,Fuel oil,2015,kilotonnes,52.6087
Lebanon,Fuel oil,2020,kilotonnes,46.8035
Lesotho,Fuel oil,2010,NULL,NULL
Lesotho,Fuel oil,2015,NULL,NULL
Lesotho,Fuel oil,2020,NULL,NULL
Liberia,Fuel oil,2010,NULL,NULL
Liberia,Fuel oil,2015,NULL,NULL
Liberia,Fuel oil,2020,NULL,NULL
Libya,Fuel oil,2010,kilotonnes,46.9997
Libya,Fuel oil,2015,kilotonnes,79.5699
Libya,Fuel oil,2020,kilotonnes,111.2434
Liechtenstein,Fuel oil,2010,NULL,NULL
Liechtenstein,Fuel oil,2015,NULL,NULL
Liechtenstein,Fuel oil,2020,NULL,NULL
Lithuania,Fuel oil,2010,kilotonnes,3.127
Lithuania,Fuel oil,2015,kilotonnes,2.8427
Lithuania,Fuel oil,2020,kilotonnes,1.0802
Luxembourg,Fuel oil,2010,kilotonnes,0.0445
Luxembourg,Fuel oil,2015,kilotonnes,0.0223
Luxembourg,Fuel oil,2020,kilotonnes,0.0757
Madagascar,Fuel oil,2010,kilotonnes,8.1141
Madagascar,Fuel oil,2015,kilotonnes,11.3454
Madagascar,Fuel oil,2020,kilotonnes,12.0264
Malawi,Fuel oil,2010,kilotonnes,0.6448
Malawi,Fuel oil,2015,kilotonnes,0.6199
Malawi,Fuel oil,2020,kilotonnes,0.8895
Malaysia,Fuel oil,2010,kilotonnes,31.2696
Malaysia,Fuel oil,2015,kilotonnes,9.3809
Malaysia,Fuel oil,2020,kilotonnes,18.1364
Maldives,Fuel oil,2010,NULL,NULL
Maldives,Fuel oil,2015,NULL,NULL
Maldives,Fuel oil,2020,NULL,NULL
Mali,Fuel oil,2010,kilotonnes,3.8911
Mali,Fuel oil,2015,kilotonnes,54.9643
Mali,Fuel oil,2020,kilotonnes,75.0715
Malta,Fuel oil,2010,kilotonnes,3.2025
Malta,Fuel oil,2015,kilotonnes,2.7046
Malta,Fuel oil,2020,kilotonnes,1.346
Marshall Islands,Fuel oil,2010,NULL,NULL
Marshall Islands,Fuel oil,2015,NULL,NULL
Marshall Islands,Fuel oil,2020,NULL,NULL
Martinique,Fuel oil,2010,kilotonnes,20.1505
Martinique,Fuel oil,2015,kilotonnes,8.1968
Martinique,Fuel oil,2020,kilotonnes,6.6941
Mauritania,Fuel oil,2010,kilotonnes,41.9783
